name,brand,body_type,transmission,fuel_type,seating_capacity,mileage,airbags,additional_features,usage,link,call,price_lakhs
Toyota Model 1,Toyota,Sedan,Clutchless Manual,Petrol,8 Seater,Above 20 kmpl,6,"Touchscreen Display, Cruise Control, Wireless Charging",city,https://example.com/toyotamodel1,9058179921,17L
Hyundai Model 2,Hyundai,Hatchback,Clutchless Manual,Petrol,6 Seater,Above 20 kmpl,2,"Wireless Charging, Sunroof, Music System",highway,https://example.com/hyundaimodel2,9606783781,25L
MG Model 3,MG,MUV,Clutchless Manual,Diesel,7 Seater,10-15 kmpl,2,"Hill Hold Control, Ventilated Seats, Sunroof",city,https://example.com/mgmodel3,9057337635,17L
MG Model 4,MG,Hatchback,Manual,Electric,6 Seater,Above 20 kmpl,6,"Ventilated Seats, Central Locking, Sunroof",family,https://example.com/mgmodel4,9536914579,24L
Tata Model 5,Tata,MUV,Automatic,Hybrid,7 Seater,Above 20 kmpl,6,"Music System, Wireless Charging, Touchscreen Display",off-road,https://example.com/tatamodel5,9561924979,21L
Honda Model 6,Honda,SUV,Manual,Diesel,8 Seater,15-20 kmpl,4,"Cruise Control, Ventilated Seats, Wireless Charging",off-road,https://example.com/hondamodel6,9392190145,24L
Kia Model 7,Kia,SUV,Clutchless Manual,Petrol,5 Seater,10-15 kmpl,6,"Central Locking, Cruise Control, Rear AC Vents",city,https://example.com/kiamodel7,9225775667,13L
Hyundai Model 8,Hyundai,SUV,Automatic,Electric,7 Seater,Above 20 kmpl,8,"Wireless Charging, Touchscreen Display, Hill Hold Control",highway,https://example.com/hyundaimodel8,9155255216,11L
Hyundai Model 9,Hyundai,SUV,Manual,Diesel,6 Seater,10-15 kmpl,6,"Wireless Charging, Rear AC Vents, Touchscreen Display",off-road,https://example.com/hyundaimodel9,9527745161,29L
Maruti Model 10,Maruti,Hatchback,Automatic,CNG,6 Seater,10-15 kmpl,8,"Alloy Wheels, Wireless Charging, Music System",off-road,https://example.com/marutimodel10,9860269634,17L
Toyota Model 11,Toyota,Sedan,Automatic,Diesel,5 Seater,Upto 10 kmpl,2,"Wireless Charging, Hill Hold Control, Cruise Control",family,https://example.com/toyotamodel11,9866002137,21L
Toyota Model 12,Toyota,Hatchback,Manual,Hybrid,6 Seater,Above 20 kmpl,4,"Reverse Camera, Hill Hold Control, Rear AC Vents",highway,https://example.com/toyotamodel12,9596062854,29L
Honda Model 13,Honda,Sedan,Automatic,Diesel,5 Seater,15-20 kmpl,4,"Reverse Camera, Ventilated Seats, Rear AC Vents",off-road,https://example.com/hondamodel13,9780636317,24L
Mahindra Model 14,Mahindra,Sedan,Manual,Hybrid,7 Seater,Above 20 kmpl,6,"Music System, Central Locking, Sunroof",family,https://example.com/mahindramodel14,9489583222,27L
Kia Model 15,Kia,Hatchback,Manual,Electric,8 Seater,Upto 10 kmpl,5,"Central Locking, Hill Hold Control, Touchscreen Display",highway,https://example.com/kiamodel15,9246437819,16L
Honda Model 16,Honda,Sedan,Manual,Petrol,5 Seater,10-15 kmpl,6,"Reverse Camera, Touchscreen Display, Ventilated Seats",city,https://example.com/hondamodel16,9456573596,13L
Hyundai Model 17,Hyundai,MUV,Manual,Petrol,7 Seater,Upto 10 kmpl,4,"Alloy Wheels, Cruise Control, Central Locking",city,https://example.com/hyundaimodel17,9474398815,16L
Honda Model 18,Honda,Hatchback,Automatic,Electric,7 Seater,15-20 kmpl,5,"Alloy Wheels, Reverse Camera, Touchscreen Display",city,https://example.com/hondamodel18,9622933564,14L
Mahindra Model 19,Mahindra,Hatchback,Clutchless Manual,CNG,6 Seater,10-15 kmpl,7,"Ventilated Seats, Music System, Cruise Control",city,https://example.com/mahindramodel19,9549612683,11L
Maruti Model 20,Maruti,SUV,Manual,Hybrid,5 Seater,15-20 kmpl,6,"Cruise Control, Sunroof, Reverse Camera",highway,https://example.com/marutimodel20,9486288717,22L
Tata Model 21,Tata,MUV,Manual,Petrol,8 Seater,Upto 10 kmpl,2,"Rear AC Vents, Touchscreen Display, Reverse Camera",city,https://example.com/tatamodel21,9538764614,11L
Tata Model 22,Tata,Sedan,Clutchless Manual,Hybrid,6 Seater,15-20 kmpl,5,"Reverse Camera, Sunroof, Central Locking",highway,https://example.com/tatamodel22,9920295868,16L
Tata Model 23,Tata,Hatchback,Manual,Electric,8 Seater,15-20 kmpl,5,"Hill Hold Control, Rear AC Vents, Alloy Wheels",city,https://example.com/tatamodel23,9588972527,18L
Toyota Model 24,Toyota,Sedan,Clutchless Manual,Petrol,7 Seater,10-15 kmpl,2,"Ventilated Seats, Central Locking, Wireless Charging",family,https://example.com/toyotamodel24,9659429417,19L
Kia Model 25,Kia,Sedan,Manual,Hybrid,7 Seater,Upto 10 kmpl,2,"Sunroof, Alloy Wheels, Wireless Charging",city,https://example.com/kiamodel25,9746129126,23L
Mahindra Model 26,Mahindra,Hatchback,Automatic,Petrol,7 Seater,Above 20 kmpl,6,"Alloy Wheels, Sunroof, Cruise Control",off-road,https://example.com/mahindramodel26,9289377146,10L
Kia Model 27,Kia,SUV,Clutchless Manual,CNG,7 Seater,Above 20 kmpl,7,"Alloy Wheels, Reverse Camera, Touchscreen Display",city,https://example.com/kiamodel27,9618716345,23L
MG Model 28,MG,Hatchback,Clutchless Manual,Petrol,8 Seater,10-15 kmpl,8,"Ventilated Seats, Reverse Camera, Hill Hold Control",highway,https://example.com/mgmodel28,9558242878,8L
Tata Model 29,Tata,SUV,Clutchless Manual,Petrol,5 Seater,Upto 10 kmpl,5,"Ventilated Seats, Cruise Control, Music System",off-road,https://example.com/tatamodel29,9391397022,29L
Maruti Model 30,Maruti,MUV,Manual,Petrol,5 Seater,Above 20 kmpl,2,"Alloy Wheels, Hill Hold Control, Reverse Camera",city,https://example.com/marutimodel30,9133528788,28L
Hyundai Model 31,Hyundai,Hatchback,Automatic,Diesel,7 Seater,10-15 kmpl,5,"Music System, Cruise Control, Ventilated Seats",family,https://example.com/hyundaimodel31,9307821456,28L
Mahindra Model 32,Mahindra,Sedan,Automatic,Petrol,8 Seater,Above 20 kmpl,8,"Ventilated Seats, Rear AC Vents, Cruise Control",city,https://example.com/mahindramodel32,9052410762,13L
Tata Model 33,Tata,SUV,Automatic,Hybrid,7 Seater,10-15 kmpl,8,"Wireless Charging, Music System, Reverse Camera",city,https://example.com/tatamodel33,9445511059,14L
Mahindra Model 34,Mahindra,Hatchback,Clutchless Manual,Diesel,5 Seater,10-15 kmpl,6,"Touchscreen Display, Sunroof, Wireless Charging",highway,https://example.com/mahindramodel34,9824081709,26L
Toyota Model 35,Toyota,SUV,Clutchless Manual,CNG,6 Seater,Above 20 kmpl,4,"Reverse Camera, Ventilated Seats, Cruise Control",highway,https://example.com/toyotamodel35,9051896841,28L
MG Model 36,MG,MUV,Clutchless Manual,CNG,5 Seater,Upto 10 kmpl,8,"Wireless Charging, Ventilated Seats, Alloy Wheels",highway,https://example.com/mgmodel36,9595647137,14L
Tata Model 37,Tata,Sedan,Manual,Hybrid,6 Seater,Upto 10 kmpl,6,"Cruise Control, Rear AC Vents, Reverse Camera",family,https://example.com/tatamodel37,9717791008,12L
Maruti Model 38,Maruti,SUV,Clutchless Manual,Petrol,6 Seater,15-20 kmpl,7,"Sunroof, Rear AC Vents, Alloy Wheels",family,https://example.com/marutimodel38,9658958938,6L
MG Model 39,MG,Hatchback,Manual,Diesel,7 Seater,Upto 10 kmpl,8,"Touchscreen Display, Hill Hold Control, Music System",city,https://example.com/mgmodel39,9338766725,25L
Honda Model 40,Honda,SUV,Clutchless Manual,CNG,6 Seater,Upto 10 kmpl,7,"Touchscreen Display, Alloy Wheels, Sunroof",highway,https://example.com/hondamodel40,9141068503,6L
MG Model 41,MG,Sedan,Clutchless Manual,Hybrid,8 Seater,15-20 kmpl,2,"Hill Hold Control, Touchscreen Display, Reverse Camera",highway,https://example.com/mgmodel41,9894519409,28L
Toyota Model 42,Toyota,Hatchback,Automatic,Petrol,8 Seater,10-15 kmpl,6,"Hill Hold Control, Reverse Camera, Wireless Charging",off-road,https://example.com/toyotamodel42,9081628928,30L
Toyota Model 43,Toyota,Hatchback,Automatic,CNG,5 Seater,15-20 kmpl,2,"Wireless Charging, Touchscreen Display, Reverse Camera",off-road,https://example.com/toyotamodel43,9687170832,29L
